  568,000/640,219 | G:560,671 P:7,329 | 135/s | ETA: 9m
  570,000/640,219 | G:562,671 P:7,329 | 135/s | ETA: 9m
  572,000/640,219 | G:564,671 P:7,329 | 135/s | ETA: 8m
  574,000/640,219 | G:566,670 P:7,330 | 136/s | ETA: 8m
  576,000/640,219 | G:568,666 P:7,334 | 136/s | ETA: 8m
  578,000/640,219 | G:570,664 P:7,336 | 136/s | ETA: 8m
  580,000/640,219 | G:572,664 P:7,336 | 136/s | ETA: 7m
  582,000/640,219 | G:574,664 P:7,336 | 136/s | ETA: 7m
  584,000/640,219 | G:576,664 P:7,336 | 136/s | ETA: 7m
  586,000/640,219 | G:578,664 P:7,336 | 136/s | ETA: 7m
  588,000/640,219 | G:580,663 P:7,337 | 136/s | ETA: 6m
  590,000/640,219 | G:582,663 P:7,337 | 136/s | ETA: 6m
  592,000/640,219 | G:584,663 P:7,337 | 136/s | ETA: 6m
  594,000/640,219 | G:586,663 P:7,337 | 136/s | ETA: 6m
  596,000/640,219 | G:588,663 P:7,337 | 136/s | ETA: 5m
  598,000/640,219 | G:590,663 P:7,337 | 136/s | ETA: 5m
  600,000/640,219 | G:592,663 P:7,337 | 136/s | ETA: 5m
  602,000/640,219 | G:594,663 P:7,337 | 136/s | ETA: 5m
  604,000/640,219 | G:596,663 P:7,337 | 137/s | ETA: 4m
  606,000/640,219 | G:598,663 P:7,337 | 137/s | ETA: 4m
  608,000/640,219 | G:600,663 P:7,337 | 137/s | ETA: 4m
  610,000/640,219 | G:602,663 P:7,337 | 137/s | ETA: 4m
  612,000/640,219 | G:604,663 P:7,337 | 137/s | ETA: 3m
  614,000/640,219 | G:606,663 P:7,337 | 137/s | ETA: 3m
  616,000/640,219 | G:608,660 P:7,340 | 137/s | ETA: 3m
  618,000/640,219 | G:610,660 P:7,340 | 137/s | ETA: 3m
  620,000/640,219 | G:612,660 P:7,340 | 137/s | ETA: 2m
  622,000/640,219 | G:614,660 P:7,340 | 137/s | ETA: 2m
  624,000/640,219 | G:616,660 P:7,340 | 137/s | ETA: 2m
  626,000/640,219 | G:618,660 P:7,340 | 137/s | ETA: 2m
  628,000/640,219 | G:620,660 P:7,340 | 137/s | ETA: 1m
  630,000/640,219 | G:622,660 P:7,340 | 137/s | ETA: 1m
  632,000/640,219 | G:624,660 P:7,340 | 137/s | ETA: 1m
  634,000/640,219 | G:626,660 P:7,340 | 137/s | ETA: 1m
  636,000/640,219 | G:628,660 P:7,340 | 138/s | ETA: 1m
  638,000/640,219 | G:630,660 P:7,340 | 138/s | ETA: 0m
  640,000/640,219 | G:632,660 P:7,340 | 138/s | ETA: 0m

Done! 640,219 | Genuine: 632,879 | Parked: 7,340
Time: 4655.2s | Rate: 138/s
filtered_genuine_v2.txt (632,879 domains)
filtered_parked_v2.txt (7,340 domains)
